stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1489","1489","Patton Gast","Rennes","48.1322989521","-1.6615205650","","","","","","1"
"1490","1490","Hôtel de Région","Rennes","48.1360207435","-1.6591140421","","","","","","1"
"1491","1491","Saint-Laurent","Rennes","48.1389202862","-1.6582726299","","","","","","1"
"1492","1492","Grand Quartier","Rennes","48.1337837898","-1.6938600863","","","","","","1"
"1493","1493","Lycée Basch","Rennes","48.1271754644","-1.6933867574","","","","","","1"
"1494","1494","Villejean-Université","Rennes","48.1212168862","-1.7029701961","","","","","","1"
"1495","1495","Lycée Basch","Rennes","48.1266071998","-1.6930116718","","","","","","1"
"1496","1496","Lande du Breil","Rennes","48.1323131797","-1.7097616342","","","","","","2"
"1497","1497","Villejean-Université","Rennes","48.1209728427","-1.7029803817","","","","","","1"
"1498","1498","Petit Champeaux","Rennes","48.1166216413","-1.7239448358","","","","","","1"
"1499","1499","Colin","Rennes","48.1163004622","-1.7160291424","","","","","","1"
"1500","1500","Agrocampus","Rennes","48.1132029656","-1.7045055366","","","","","","1"
"1501","1501","République","Rennes","48.1094025742","-1.6797679316","","","","","","1"
"1502","1502","Agrocampus","Rennes","48.1139452877","-1.7054356861","","","","","","1"
"1503","1503","Colin","Rennes","48.1161325067","-1.7159244750","","","","","","1"
"1504","1504","Petit Champeaux","Rennes","48.1163533755","-1.7231575562","","","","","","1"
"1506","1506","Berthault","Rennes","48.1064770733","-1.7315702649","","","","","","1"
"1507","1507","Lycée Zola","Rennes","48.1094057677","-1.6750997505","","","","","","1"
"1508","1508","Berthault","Rennes","48.1066930337","-1.7291272723","","","","","","1"
"1509","1509","Henri Fréville","Rennes","48.0878217470","-1.6745545666","","","","","","1"
"1510","1510","Henri Fréville","Rennes","48.0877838165","-1.6744152973","","","","","","1"
"1511","1511","La Poterie","Rennes","48.0875718502","-1.6434656406","","","","","","1"
"1513","1513","Bois Perrin","Rennes","48.1153784235","-1.6484948251","","","","","","1"
"1514","1514","Moulin de Joué","Rennes","48.1133256368","-1.6476476290","","","","","","1"
"1515","1515","Moulin de Joué","Rennes","48.1136311623","-1.6475692871","","","","","","1"
"1516","1516","Bois Perrin","Rennes","48.1159727627","-1.6483668973","","","","","","2"
"1517","1517","Berry","Rennes","48.1185651189","-1.7135744134","","","","","","1"
"1518","1518","Bourbonnais","Rennes","48.1205931344","-1.7105719209","","","","","","1"
"1519","1519","Villejean-Université","Rennes","48.1210637297","-1.7029762090","","","","","","1"
"1520","1520","Bourbonnais","Rennes","48.1204731029","-1.7095739997","","","","","","1"
"1521","1521","Berry","Rennes","48.1184616850","-1.7138246365","","","","","","1"
"1522","1522","Piletière","Rennes","48.1138838472","-1.6427185127","","","","","","1"
"1523","1523","Moulin de Joué","Rennes","48.1142765733","-1.6491308761","","","","","","1"
"1524","1524","Hôpital Régnier","Rennes","48.1146206919","-1.6512780660","","","","","","1"
"1525","1525","Durafour Strasbourg","Rennes","48.1146101367","-1.6552231457","","","","","","1"
"1526","1526","Hôpital Régnier","Rennes","48.1148006915","-1.6532200818","","","","","","1"
"1527","1527","Moulin de Joué","Rennes","48.1145686122","-1.6499591181","","","","","","1"
"1528","1528","Piletière","Rennes","48.1139924391","-1.6444195318","","","","","","1"
"1529","1529","Villejean-Université","Rennes","48.1211559106","-1.7029727666","","","","","","1"
"1530","1530","Pâtis Tatelin","Rennes","48.1289105013","-1.6427139566","","","","","","1"
"1532","1532","Joliot-Curie","Rennes","48.1270012273","-1.6527136316","","","","","","2"
"1533","1533","La Poterie","Rennes","48.0876374360","-1.6434789832","","","","","","1"
